A5A616	mgtS	b4599	Small protein MgtS
P27128	waaO	b3627	Lipopolysaccharide glucosyltransferase WaaO (EC 2.4.1.73) (Lipopolysaccharide alpha-1,3 glucosyltransferase) (Lipopolysaccharide glucosyltransferase II)
P27243	waaL	b3622	O-antigen ligase (EC 2.4.99.26) (Surface polymer:lipid A-core ligase)
P27249	glnD	b0167	Bifunctional uridylyltransferase/uridylyl-removing enzyme (UTase/UR) (Bifunctional [protein-PII] modification enzyme) (Bifunctional nitrogen sensor protein) [Includes: [Protein-PII] uridylyltransferase (PII uridylyltransferase) (UTase) (EC 2.7.7.59); [Protein-PII]-UMP uridylyl-removing enzyme (UR) (EC 3.1.4.-)]
P27250	ahr	b4269	Aldehyde reductase Ahr (EC 1.1.1.2) (Zinc-dependent alcohol dehydrogenase Ahr)
P27278	nadR	b4390	Trifunctional NAD biosynthesis/regulator protein NadR [Includes: Transcriptional regulator NadR; Nicotinamide mononucleotide adenylyltransferase (NMN adenylyltransferase) (NMN-AT) (NMNAT) (EC 2.7.7.1) (Nicotinamide ribonucleotide adenylyltransferase) (Nicotinamide-nucleotide adenylyltransferase); Ribosylnicotinamide kinase (RNK) (EC 2.7.1.22) (Nicotinamide riboside kinase) (NRK) (NmR-K)]
P27296	dinG	b0799	ATP-dependent DNA helicase DinG (EC 5.6.2.3) (DNA 5'-3' helicase DinG)
P27302	tktA	b2935	Transketolase 1 (TK 1) (EC 2.2.1.1)
P27303	emrA	b2685	Multidrug export protein EmrA
P27306	sthA	b3962	Soluble pyridine nucleotide transhydrogenase (STH) (EC 1.6.1.1) (NAD(P)(+) transhydrogenase [B-specific])
P27431	roxA	b1128	Ribosomal protein uL16 3-hydroxylase (EC 1.14.11.47) (Ribosomal oxygenase RoxA) (ROX)
P27434	rodZ	b2516	Cytoskeleton protein RodZ
P27550	acs	b4069	Acetyl-coenzyme A synthetase (AcCoA synthetase) (Acs) (EC 6.2.1.1) (Acetate--CoA ligase) (Acyl-activating enzyme)
P27828	wecB	b3786	UDP-N-acetylglucosamine 2-epimerase (EC 5.1.3.14) (Bacteriophage N4 adsorption protein C) (UDP-GlcNAc-2-epimerase)
P27829	wecC	b3787	UDP-N-acetyl-D-mannosamine dehydrogenase (EC 1.1.1.336) (UDP-ManNAc 6-dehydrogenase)
P27830	rffG	b3788	dTDP-glucose 4,6-dehydratase 2 (EC 4.2.1.46)
P27833	wecE	b3791	dTDP-4-amino-4,6-dideoxygalactose transaminase (EC 2.6.1.59)
P27838	cyaY	b3807	Iron-sulfur cluster assembly protein CyaY (Bacterial frataxin ortholog)
P27848	yigL	b3826	Pyridoxal phosphate phosphatase YigL (EC 3.1.3.74) (PLP phosphatase) (Sugar phosphatase) (EC 3.1.3.23)
P27859	tatD	b4483	3'-5' ssDNA/RNA exonuclease TatD (EC 3.1.11.-) (EC 3.1.13.-) (DNase TatD)
P28246	bcr	b2182	Bicyclomycin resistance protein (Sulfonamide resistance protein)
P28248	dcd	b2065	dCTP deaminase (EC 3.5.4.13) (Deoxycytidine triphosphate deaminase)
P28305	pabC	b1096	Aminodeoxychorismate lyase (EC 4.1.3.38) (4-amino-4-deoxychorismate lyase) (ADC lyase) (ADCL)
P28306	mltG	b1097	Endolytic murein transglycosylase (EC 4.2.2.29) (Peptidoglycan lytic transglycosylase) (Peptidoglycan polymerization terminase)
P28629	adiA	b4117	Biodegradative arginine decarboxylase (ADC) (EC 4.1.1.19)
P28630	holA	b0640	DNA polymerase III subunit delta (EC 2.7.7.7)
P28631	holB	b1099	DNA polymerase III subunit delta' (EC 2.7.7.7)
P28632	holD	b4372	DNA polymerase III subunit psi (EC 2.7.7.7) (Accessory clamp loader complex subunit psi) (Replication clamp loader subunit HolD)
P28861	fpr	b3924	Flavodoxin/ferredoxin--NADP reductase (EC 1.18.1.2) (EC 1.19.1.1) (Ferredoxin (flavodoxin):NADP(+) oxidoreductase) (Ferredoxin--NADP reductase) (FNR) (Flavodoxin--NADP reductase) (FLDR) (Methyl viologen resistance protein A) (dA1)
P28903	nrdD	b4238	Anaerobic ribonucleoside-triphosphate reductase (EC 1.1.98.6) (Class III ribonucleoside-triphosphate reductase)
P28905	holC	b4259	DNA polymerase III subunit chi (EC 2.7.7.7) (Accessory clamp loader complex subunit chi) (Replication clamp loader subunit HolC)
P29018	cydD	b0887	Glutathione/L-cysteine transport system ATP-binding/permease protein CydD (EC 7.4.2.-)
P29131	ftsN	b3933	Cell division protein FtsN
P29745	pepT	b1127	Peptidase T (EC 3.4.11.4) (Aminotripeptidase) (Tripeptidase) (Tripeptide aminopeptidase)
P30011	nadC	b0109	Nicotinate-nucleotide pyrophosphorylase [carboxylating] (EC 2.4.2.19) (Quinolinate phosphoribosyltransferase [decarboxylating]) (QAPRTase)
P30014	rnt	b1652	Ribonuclease T (EC 3.1.13.-) (Exoribonuclease T) (RNase T)
P30125	leuB	b0073	3-isopropylmalate dehydrogenase (EC 1.1.1.85) (3-IPM-DH) (Beta-IPM dehydrogenase) (IMDH)
P30131	hypF	b2712	Carbamoyltransferase HypF (EC 6.2.-.-) (Carbamoyl phosphate-converting enzyme HypF) ([NiFe]-hydrogenase maturation factor HypF) (Hydrogenase maturation protein HypF)
P30138	thiF	b3992	Sulfur carrier protein ThiS adenylyltransferase (EC 2.7.7.73)
P30139	thiG	b3991	Thiazole synthase (EC 2.8.1.10)
P30140	thiH	b3990	2-iminoacetate synthase (EC 4.1.99.19) (Dehydroglycine synthase) (Tyrosine lyase)
P30147	hyi	b0508	Hydroxypyruvate isomerase (EC 5.3.1.22) (Glyoxylate-induced protein)
P30176	ybiA	b0798	N-glycosidase YbiA (EC 3.2.2.-) (Riboflavin biosynthesis intermediates N-glycosidase)
P30178	hcxB	b0801	Hydroxycarboxylate dehydrogenase B (EC 1.1.1.-) (2-oxoglutarate reductase) (Hydroxyphenylpyruvate reductase) (EC 1.1.1.237) (Phenylpyruvate reductase)
P30745	moaA	b0781	GTP 3',8-cyclase (EC 4.1.99.22) (Molybdenum cofactor biosynthesis protein A)
P30748	moaD	b0784	Molybdopterin synthase sulfur carrier subunit (MPT synthase subunit 1) (Molybdenum cofactor biosynthesis protein D) (Molybdopterin-converting factor small subunit) (Molybdopterin-converting factor subunit 1) (Sulfur carrier protein MoaD)
P30749	moaE	b0785	Molybdopterin synthase catalytic subunit (EC 2.8.1.12) (MPT synthase subunit 2) (Molybdenum cofactor biosynthesis protein E) (Molybdopterin-converting factor large subunit) (Molybdopterin-converting factor subunit 2)
P30750	metN	b0199	Methionine import ATP-binding protein MetN (EC 7.4.2.11)
P30844	basS	b4112	Sensor protein BasS (EC 2.7.13.3)
P30847	baeS	b2078	Signal transduction histidine-protein kinase BaeS (EC 2.7.13.3)
P30850	rnb	b1286	Exoribonuclease 2 (EC 3.1.13.1) (Exoribonuclease II) (RNase II) (Ribonuclease II)
P30855	evgS	b2370	Sensor protein EvgS (EC 2.7.13.3)
P30870	glnE	b3053	Bifunctional glutamine synthetase adenylyltransferase/adenylyl-removing enzyme (ATP:glutamine synthetase adenylyltransferase) (ATase) [Includes: Glutamine synthetase adenylyl-L-tyrosine phosphorylase (EC 2.7.7.89) (Adenylyl removase) (AR) (AT-N) (AT-N440) (P-I); Glutamine synthetase adenylyl transferase (EC 2.7.7.42) (Adenylyl transferase) (AT) (AT-C)]
P30958	mfd	b1114	Transcription-repair-coupling factor (TRCF) (EC 3.6.4.-)
P31057	panB	b0134	3-methyl-2-oxobutanoate hydroxymethyltransferase (EC 2.1.2.11) (Ketopantoate hydroxymethyltransferase) (KPHMT)
P31069	kch	b1250	Voltage-gated potassium channel Kch
P31119	aas	b2836	Bifunctional protein Aas [Includes: 2-acylglycerophosphoethanolamine acyltransferase (EC 2.3.1.40) (2-acyl-GPE acyltransferase) (Acyl-[acyl-carrier-protein]--phospholipid O-acyltransferase); Acyl-[acyl-carrier-protein] synthetase (EC 6.2.1.20) (Acyl-ACP synthetase) (Long-chain-fatty-acid--[acyl-carrier-protein] ligase)]
P31120	glmM	b3176	Phosphoglucosamine mutase (EC 5.4.2.10)
P31129	dgcZ	b1535	Diguanylate cyclase DgcZ (DGC) (EC 2.7.7.65) (Zinc-sensory diguanylate cyclase)
P31133	potF	b0854	Putrescine-binding periplasmic protein PotF
P31134	potG	b0855	Putrescine transport ATP-binding protein PotG (EC 7.6.2.16)
P31142	sseA	b2521	3-mercaptopyruvate sulfurtransferase (MST) (EC 2.8.1.2) (Rhodanese-like protein)
P31224	acrB	b0462	Multidrug efflux pump subunit AcrB (AcrAB-TolC multidrug efflux pump subunit AcrB) (Acridine resistance protein B)
P31460	dgoR	b4479	Galactonate operon transcriptional repressor (HTH-type transcriptional repressor DgoR)
P31466	adeP	b3714	Adenine permease AdeP
P31473	ravA	b3746	ATPase RavA (EC 3.6.3.-) (Regulatory ATPase variant A)
P31545	efeB	b1019	Deferrochelatase (EC 4.98.1.1) (Peroxidase EfeB) (EC 1.11.1.-)
P31547	metI	b0198	D-methionine transport system permease protein MetI
P31550	thiB	b0068	Thiamine-binding periplasmic protein
P31551	caiD	b0036	Carnitinyl-CoA dehydratase (EC 4.2.1.149) (Crotonobetainyl-CoA hydratase)
P31552	caiC	b0037	Crotonobetaine/carnitine--CoA ligase (EC 6.2.1.48) (Betaine:CoA ligase)
P31553	caiT	b0040	L-carnitine/gamma-butyrobetaine antiporter
P31554	lptD	b0054	LPS-assembly protein LptD (Organic solvent tolerance protein)
P31572	caiB	b0038	L-carnitine CoA-transferase (EC 2.8.3.21) (Crotonobetainyl-CoA:carnitine CoA-transferase)
P31658	hchA	b1967	Protein/nucleic acid deglycase 1 (EC 3.1.2.-) (EC 3.5.1.-) (EC 3.5.1.124) (Glyoxalase III) (EC 4.2.1.130) (Holding molecular chaperone) (Hsp31) (Maillard deglycase)
P31660	prpC	b0333	2-methylcitrate synthase (2-MCS) (MCS) (EC 2.3.3.5) ((2S,3S)-2-methylcitrate synthase) (Citrate synthase) (EC 2.3.3.16)
P31663	panC	b0133	Pantothenate synthetase (PS) (EC 6.3.2.1) (Pantoate--beta-alanine ligase) (Pantoate-activating enzyme)
P31667	rpnA	b3411	Recombination-promoting nuclease RpnA (EC 3.1.21.-)
P31677	otsA	b1896	Trehalose-6-phosphate synthase (TPS) (EC 2.4.1.15) (Alpha,alpha-trehalose-phosphate synthase [UDP-forming]) (Osmoregulatory trehalose synthesis protein A) (OtsA) (UDP-glucose-glucosephosphate glucosyltransferase)
P31678	otsB	b1897	Trehalose-6-phosphate phosphatase (TPP) (EC 3.1.3.12) (Osmoregulatory trehalose synthesis protein B) (Trehalose 6-phosphate phosphatase) (Trehalose-phosphatase)
P31806	nnr	b4167	Bifunctional NAD(P)H-hydrate repair enzyme Nnr (Nicotinamide nucleotide repair protein) [Includes: ADP-dependent (S)-NAD(P)H-hydrate dehydratase (EC 4.2.1.136) (ADP-dependent NAD(P)HX dehydratase); NAD(P)H-hydrate epimerase (EC 5.1.99.6) (NAD(P)HX epimerase)]
P31979	nuoF	b2284	NADH-quinone oxidoreductase subunit F (EC 7.1.1.-) (NADH dehydrogenase I subunit F) (NDH-1 subunit F) (NUO6)
P31992	pptA	b1461	Tautomerase PptA (EC 5.3.2.-)
P32055	fcl	b2052	GDP-L-fucose synthase (EC 1.1.1.271) (GDP-4-keto-6-deoxy-D-mannose-3,5-epimerase-4-reductase)
P32056	gmm	b2051	GDP-mannose mannosyl hydrolase (GDPMH) (EC 3.6.1.-) (Colanic acid biosynthesis protein WcaH)
P32099	lplA	b4386	Lipoate-protein ligase A (EC 6.3.1.20) (Lipoate--protein ligase)
P32131	hemN	b3867	Oxygen-independent coproporphyrinogen III oxidase (CPO) (EC 1.3.98.3) (Coproporphyrinogen III dehydrogenase) (CPDH)
P32138	yihQ	b3878	Sulfoquinovosidase (SQase) (EC 3.2.1.199)
P32140	yihS	b3880	Sulfoquinovose isomerase (SQ isomerase) (EC 5.3.1.31) (Sulfoquinovose-sulfofructose isomerase) (SQ-SF isomerase)
P32143	yihV	b3883	Sulfofructose kinase (SF kinase) (EC 2.7.1.184)
P32156	rhaM	b3901	L-rhamnose mutarotase (EC 5.1.3.32) (Rhamnose 1-epimerase) (Type-3 mutarotase)
P32166	menA	b3930	1,4-dihydroxy-2-naphthoate octaprenyltransferase (DHNA-octaprenyltransferase) (EC 2.5.1.74)
P32169	rhaD	b3902	Rhamnulose-1-phosphate aldolase (EC 4.1.2.19)
P32170	rhaA	b3903	L-rhamnose isomerase (RhamIso) (EC 5.3.1.14)
P32171	rhaB	b3904	L-Rhamnulokinase (RhaB) (RhuK) (EC 2.7.1.5) (ATP:L-rhamnulose phosphotransferase) (L-rhamnulose 1-kinase) (Rhamnulose kinase)
P32173	mobA	b3857	Molybdenum cofactor guanylyltransferase (MoCo guanylyltransferase) (EC 2.7.7.77) (GTP:molybdopterin guanylyltransferase) (Mo-MPT guanylyltransferase) (Molybdopterin guanylyltransferase) (Molybdopterin-guanine dinucleotide biosynthesis protein A) (Molybdopterin-guanine dinucleotide synthase) (MGD synthase) (Protein FA)
P32176	fdoG	b3894	Formate dehydrogenase-O major subunit (EC 1.17.1.9) (Aerobic formate dehydrogenase major subunit) (FDH-Z subunit alpha) (Formate dehydrogenase-O subunit alpha)
P32177	fdhD	b3895	Sulfur carrier protein FdhD (Sulfurtransferase FdhD)
P32662	gph	b3385	Phosphoglycolate phosphatase (PGP) (PGPase) (EC 3.1.3.18)
P32664	nudC	b3996	NAD-capped RNA hydrolase NudC (DeNADding enzyme NudC) (EC 3.6.1.-) (NADH pyrophosphatase) (EC 3.6.1.22)
P32684	rluF	b4022	Dual-specificity RNA pseudouridine synthase RluF (EC 5.4.99.-) (EC 5.4.99.21) (23S rRNA pseudouridine(2604) synthase) (Ribosomal large subunit pseudouridine synthase F) (rRNA pseudouridylate synthase F) (rRNA-uridine isomerase F) (tRNA(Tyr) pseudouridine(35) synthase)
P32695	dusA	b4049	tRNA-dihydrouridine(20/20a) synthase (EC 1.3.1.-) (EC 1.3.1.91) (U20-specific dihydrouridine synthase) (U20-specific Dus) (tRNA-dihydrouridine synthase A)
P32705	actP	b4067	Cation/acetate symporter ActP (Acetate permease) (Acetate transporter ActP)
P32717	yjcS	b4083	Linear primary-alkylsulfatase (EC 3.1.6.21) (Type III linear primary-alkylsulfatase)
P32719	alsE	b4085	D-allulose-6-phosphate 3-epimerase (EC 5.1.3.-)
P33013	dacD	b2010	D-alanyl-D-alanine carboxypeptidase DacD (DD-carboxypeptidase) (DD-peptidase) (EC 3.4.16.4) (Penicillin-binding protein 6b) (PBP-6b)
P33015	tsuA	b2013	Thiosulfate transporter TsuA (Thiosulfate uptake protein A)
P33018	yeiG	b2154	S-formylglutathione hydrolase YeiG (FGH) (EC 3.1.2.12)
P33022	rihB	b2162	Pyrimidine-specific ribonucleoside hydrolase RihB (EC 3.2.2.8) (Cytidine/uridine-specific hydrolase)
P33025	psuG	b2165	Pseudouridine-5'-phosphate glycosidase (PsiMP glycosidase) (EC 4.2.1.70)
P33195	gcvP	b2903	Glycine dehydrogenase (decarboxylating) (EC 1.4.4.2) (Glycine cleavage system P-protein) (Glycine decarboxylase) (Glycine dehydrogenase (aminomethyl-transferring))
P33219	yebF	b1847	Protein YebF
P33221	purT	b1849	Formate-dependent phosphoribosylglycinamide formyltransferase (EC 6.3.1.21) (5'-phosphoribosylglycinamide transformylase 2) (Formate-dependent GAR transformylase) (GAR transformylase 2) (GART 2) (GAR transformylase T) (Non-folate glycinamide ribonucleotide transformylase) (Phosphoribosylglycinamide formyltransferase 2)
P33224	aidB	b4187	Putative acyl-CoA dehydrogenase AidB (EC 1.3.99.-)
P33225	torA	b0997	Trimethylamine-N-oxide reductase 1 (TMAO reductase 1) (Trimethylamine oxidase 1) (EC 1.7.2.3)
P33226	torC	b0996	Cytochrome c-type protein TorC
P33231	lldP	b3603	L-lactate permease
P33232	lldD	b3605	L-lactate dehydrogenase (EC 1.1.-.-)
P33371	dusC	b2140	tRNA-dihydrouridine(16) synthase (EC 1.3.1.-) (U16-specific dihydrouridine synthase) (U16-specific Dus) (tRNA-dihydrouridine synthase C)
P33599	nuoC	b2286	NADH-quinone oxidoreductase subunit C/D (EC 7.1.1.-) (NADH dehydrogenase I subunit C/D) (NDH-1 subunit C/D) (NUO3/NUO4)
P33602	nuoG	b2283	NADH-quinone oxidoreductase subunit G (EC 7.1.1.-) (NADH dehydrogenase I subunit G) (NDH-1 subunit G) (NUO7)
P33607	nuoL	b2278	NADH-quinone oxidoreductase subunit L (EC 7.1.1.-) (NADH dehydrogenase I subunit L) (NDH-1 subunit L) (NUO12)
P33643	rluD	b2594	Ribosomal large subunit pseudouridine synthase D (EC 5.4.99.23) (23S rRNA pseudouridine(1911/1915/1917) synthase) (rRNA pseudouridylate synthase D) (rRNA-uridine isomerase D)
P33644	yfiH	b2593	Purine nucleoside phosphorylase YfiH (EC 2.4.2.1) (Adenosine deaminase YfiH) (EC 3.5.4.4) (Polyphenol oxidase YfiH) (EC 1.10.3.-) (S-methyl-5'-thioadenosine phosphorylase YfiH) (EC 2.4.2.28)
P33647	chpB	b4225	Endoribonuclease toxin ChpB (EC 3.1.-.-) (Toxin ChpB) (mRNA interferase ChpB)
P33650	feoB	b3409	Fe(2+) transporter FeoB (Ferrous iron transport protein B)
P33667	selU	b0503	tRNA 2-selenouridine synthase (EC 2.9.1.3) (Selenophosphate-dependent tRNA 2-selenouridine synthase)
P33919	radD	b2184	Putative DNA repair helicase RadD (EC 3.6.4.12)
P33937	napA	b2206	Periplasmic nitrate reductase (EC 1.9.6.1)
P35340	ahpF	b0606	Alkyl hydroperoxide reductase subunit F (EC 1.8.1.-) (Alkyl hydroperoxide reductase F52A protein)
P36548	amiA	b2435	N-acetylmuramoyl-L-alanine amidase AmiA (EC 3.5.1.28)
P36553	hemF	b2436	Oxygen-dependent coproporphyrinogen-III oxidase (CPO) (Coprogen oxidase) (Coproporphyrinogenase) (EC 1.3.3.3)
P36566	cmoM	b0921	tRNA 5-carboxymethoxyuridine methyltransferase (EC 2.1.1.-) (cmo5U methyltransferase)
P36649	cueO	b0123	Multicopper oxidase CueO (MCO) (EC 1.16.3.4) (Blue copper oxidase CueO) (Copper efflux oxidase) (Cu efflux oxidase) (Cuprous oxidase)
P36655	dsbD	b4136	Thiol:disulfide interchange protein DsbD (EC 1.8.1.8) (C-type cytochrome biogenesis protein CycZ) (Inner membrane copper tolerance protein) (Protein-disulfide reductase) (Disulfide reductase)
P36672	treB	b4240	PTS system trehalose-specific EIIBC component (EIIBC-Tre) (EII-Tre) [Includes: Trehalose-specific phosphotransferase enzyme IIB component (EC 2.7.1.201) (PTS system trehalose-specific EIIB component); Trehalose permease IIC component (PTS system trehalose-specific EIIC component)]
P36675	arfA	b4550	Alternative ribosome-rescue factor A
P36680	zapD	b0102	Cell division protein ZapD (Z ring-associated protein D)
P36683	acnB	b0118	Aconitate hydratase B (ACN) (Aconitase) (EC 4.2.1.3) ((2R,3S)-2-methylisocitrate dehydratase) ((2S,3R)-3-hydroxybutane-1,2,3-tricarboxylate dehydratase) (2-methyl-cis-aconitate hydratase) (EC 4.2.1.99) (Iron-responsive protein-like) (IRP-like) (RNA-binding protein)
P36837	dtpB	b3496	Dipeptide and tripeptide permease B
P36929	rsmB	b3289	Ribosomal RNA small subunit methyltransferase B (EC 2.1.1.176) (16S rRNA m5C967 methyltransferase) (rRNA (cytosine-C(5)-)-methyltransferase RsmB)
P36937	kdpF	b4513	Potassium-transporting ATPase KdpF subunit (ATP phosphohydrolase [potassium-transporting] F chain) (Potassium-binding and translocating subunit F) (Potassium-translocating ATPase F chain)
P36979	rlmN	b2517	Dual-specificity RNA methyltransferase RlmN (EC 2.1.1.192) (23S rRNA (adenine(2503)-C(2))-methyltransferase) (23S rRNA m2A2503 methyltransferase) (Ribosomal RNA large subunit methyltransferase N) (tRNA (adenine(37)-C(2))-methyltransferase) (tRNA m2A37 methyltransferase)
P37001	pagP	b0622	Lipid A palmitoyltransferase PagP (EC 2.3.1.251) (Lipid A acylation protein)
P37002	fluC	b0624	Fluoride-specific ion channel FluC (Fluoride exporter)
P37013	norR	b2709	Anaerobic nitric oxide reductase transcription regulator NorR
P37019	clcA	b0155	H(+)/Cl(-) exchange transporter ClcA (ClC-ec1)
P37025	thpR	b0147	RNA 2',3'-cyclic phosphodiesterase (RNA 2',3'-CPDase) (EC 3.1.4.58) (Two-histidine 2',3'-cyclic phosphodiesterase acting on RNA)
P37028	btuF	b0158	Vitamin B12-binding protein
P37051	purU	b1232	Formyltetrahydrofolate deformylase (EC 3.5.1.10) (Formyl-FH(4) hydrolase)
P37095	pepB	b2523	Peptidase B (EC 3.4.11.23) (Aminopeptidase B)
P37128	nudK	b2467	GDP-mannose pyrophosphatase (EC 3.6.1.-) (GDP-mannose hydrolase) (GDPMK)
P37177	ptsP	b2829	Phosphoenolpyruvate-dependent phosphotransferase system (EC 2.7.3.9) (Enzyme I-Ntr) (EINtr) (Phosphotransferase system, enzyme I)
P37188	gatB	b2093	PTS system galactitol-specific EIIB component (EIIB-Gat) (Galactitol-specific phosphotransferase enzyme IIB component) (EC 2.7.1.200)
P37313	dppF	b3540	Dipeptide transport ATP-binding protein DppF (EC 7.4.2.9)
P37329	modA	b0763	Molybdate-binding protein ModA (Molybdate/tungstate-binding protein ModA)
P37330	glcB	b2976	Malate synthase G (MSG) (EC 2.3.3.9)
P37339	lhgD	b2660	L-2-hydroxyglutarate dehydrogenase (L2HG dehydrogenase) (EC 1.1.5.13) (L2HG:quinone oxidoreductase)
P37340	mdtK	b1663	Multidrug resistance protein MdtK (Multidrug-efflux transporter)
P37344	pspF	b1303	Psp operon transcriptional activator (Phage shock protein F)
P37349	dhaM	b1198	PEP-dependent dihydroxyacetone kinase, phosphoryl donor subunit DhaM (EC 2.7.1.121) (Dihydroxyacetone kinase subunit M)
P37351	rpiB	b4090	Ribose-5-phosphate isomerase B (EC 5.3.1.6) (Phosphoriboisomerase B)
P37595	iaaA	b0828	Isoaspartyl peptidase (EC 3.4.19.5) (Beta-aspartyl-peptidase) (EcAIII) (Isoaspartyl dipeptidase) [Cleaved into: Isoaspartyl peptidase subunit alpha; Isoaspartyl peptidase subunit beta]
P37610	tauD	b0368	Alpha-ketoglutarate-dependent taurine dioxygenase (EC 1.14.11.17) (2-aminoethanesulfonate dioxygenase) (Sulfate starvation-induced protein 3) (SSI3)
P37613	panZ	b3459	PanD regulatory factor
P37617	zntA	b3469	Zinc/cadmium/lead-transporting P-type ATPase (EC 7.2.2.-) (EC 7.2.2.12) (EC 7.2.2.21) (Pb(II)/Cd(II)/Zn(II)-translocating ATPase) (Zn(2+)/Cd(2+)/Pb(2+) export ATPase)
P37624	rbbA	b3486	Ribosome-associated ATPase (Ribosomal bound ATPase)
P37634	rlmJ	b3499	Ribosomal RNA large subunit methyltransferase J (EC 2.1.1.266) (23S rRNA (adenine(2030)-N6)-methyltransferase) (23S rRNA m6A2030 methyltransferase)
P37637	mdtF	b3514	Multidrug resistance protein MdtF
P37647	kdgK	b3526	2-dehydro-3-deoxygluconokinase (EC 2.7.1.45) (2-keto-3-deoxygluconokinase) (3-deoxy-2-oxo-D-gluconate kinase) (KDG kinase)
P37653	bcsA	b3533	Cellulose synthase catalytic subunit [UDP-forming] (EC 2.4.1.12)
P37666	ghrB	b3553	Glyoxylate/hydroxypyruvate reductase B (EC 1.1.1.79) (EC 1.1.1.81) (2-ketoaldonate reductase) (2-ketogluconate reductase) (2KR) (EC 1.1.1.215)
P37672	dlgD	b3575	2,3-diketo-L-gulonate reductase (2,3-DKG reductase) (EC 1.1.1.130) (3-dehydro-L-gulonate 2-dehydrogenase)
P37677	lyx	b3580	L-xylulose/3-keto-L-gulonate kinase (L-xylulokinase) (EC 2.7.1.-) (EC 2.7.1.53) (3-dehydro-L-gulonate kinase)
P37685	aldB	b3588	Aldehyde dehydrogenase B (EC 1.2.1.4) (Acetaldehyde dehydrogenase)
P37689	gpmI	b3612	2,3-bisphosphoglycerate-independent phosphoglycerate mutase (BPG-independent PGAM) (Phosphoglyceromutase) (iPGM) (EC 5.4.2.12)
P37690	envC	b3613	Murein hydrolase activator EnvC (Septal ring factor)
P37744	rfbA	b2039	Glucose-1-phosphate thymidylyltransferase 1 (G1P-TT 1) (EC 2.7.7.24) (dTDP-glucose pyrophosphorylase 1) (dTDP-glucose synthase 1)
